date,note
2024-02-16,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-03-22,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-04-26,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-06-07,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-07-26,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-09-13,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-10-25,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2024-12-20,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-02-14,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-03-21,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-04-25,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-06-06,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-07-25,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-09-12,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-10-24,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2025-12-19,Заседание Совета директоров ЦБ РФ по ключевой ставке (требует сверки с cbr.ru/dkp/cal_mp)
2026-02-13,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-03-20,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-04-24,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-06-19,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-07-24,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-09-11,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-10-23,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
2026-12-18,Заседание Совета директоров ЦБ РФ по ключевой ставке (проверено по календарю ЦБ)
